fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
57.52796721458435,142.37857723236084,17.268322944641113,0.8576,0.8505882352941176,0.8676,0.8590099009900991,0.8575999999999999
59.90460133552551,143.81562900543213,16.171677112579346,0.849,0.8367425704361251,0.8672,0.8516990768022,0.849
59.23486089706421,149.87510752677917,15.974266052246094,0.8549,0.8473282442748091,0.8658,0.8564645365515877,0.8549000000000001
64.16208672523499,144.79744744300842,16.551625967025757,0.8477,0.8372453928225024,0.8632,0.8500246184145741,0.8477
59.301777362823486,138.1596565246582,14.998563051223755,0.8526,0.8395608628659477,0.8718,0.855376766091052,0.8525999999999999
60.026 +- 2.214,143.805 +- 3.788,16.193 +- 0.743,0.852 +- 0.004,0.842 +- 0.006,0.867 +- 0.003,0.855 +- 0.003,0.852 +- 0.004
