fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
329.31132197380066,0.040047645568847656,0.015185356140136719,0.787,0.7928571428571428,0.777,0.7848484848484848,0.787
335.87785267829895,0.023239850997924805,0.0059969425201416016,0.7937,0.793289394847214,0.7944,0.7938443089837115,0.7937
329.5394630432129,0.025066614151000977,0.007750272750854492,0.8061,0.8122832075086717,0.7962,0.8041611958388041,0.8061000000000001
325.2319061756134,0.02131056785583496,0.005713701248168945,0.7686,0.7763374485596708,0.7546,0.765314401622718,0.7686
349.00662207603455,0.0611879825592041,0.033225059509277344,0.7712,0.7870448772226927,0.7436,0.7647058823529411,0.7711999999999999
333.793 +- 8.334,0.034 +- 0.015,0.014 +- 0.010,0.785 +- 0.014,0.792 +- 0.012,0.773 +- 0.021,0.783 +- 0.016,0.785 +- 0.014
