fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
329.31132197380066,0.3201308250427246,0.014859437942504883,0.7487,0.7586852506760974,0.7294,0.7437544610992147,0.7487
335.87785267829895,0.32631897926330566,0.015361785888671875,0.7487,0.7369925671812464,0.7734,0.7547574899970724,0.7487
329.5394630432129,0.32753705978393555,0.014960765838623047,0.7575,0.7550009902951079,0.7624,0.7586824559657677,0.7575
325.2319061756134,0.4439079761505127,0.02175116539001465,0.7264,0.7390202702702703,0.7,0.7189811010682003,0.7264
349.00662207603455,0.3258647918701172,0.01993703842163086,0.7394,0.7458915365653246,0.7262,0.7359140656668018,0.7394
333.793 +- 8.334,0.349 +- 0.048,0.017 +- 0.003,0.744 +- 0.011,0.747 +- 0.009,0.738 +- 0.026,0.742 +- 0.014,0.744 +- 0.011
