fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
329.31132197380066,0.015615463256835938,0.0059473514556884766,0.7795,0.7756954034326297,0.7864,0.7810110239348494,0.7794999999999999
335.87785267829895,0.012842893600463867,0.004894256591796875,0.7782,0.7669865642994241,0.7992,0.7827619980411361,0.7782
329.5394630432129,0.015265464782714844,0.006102561950683594,0.7997,0.8006018054162487,0.7982,0.7993990986479719,0.7997000000000001
325.2319061756134,0.012543201446533203,0.0049707889556884766,0.7605,0.7661966073983242,0.7498,0.7579096330738907,0.7605000000000001
349.00662207603455,0.02401256561279297,0.008124113082885742,0.7618,0.7653019862180787,0.7552,0.7602174350714718,0.7617999999999999
333.793 +- 8.334,0.016 +- 0.004,0.006 +- 0.001,0.776 +- 0.014,0.775 +- 0.013,0.778 +- 0.021,0.776 +- 0.015,0.776 +- 0.014
