fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
5.793571472167969e-05,215.3042016029358,0.07796573638916016,0.8101,0.8111579369857516,0.8084,0.8097766202544325,0.8100999999999999
7.677078247070312e-05,232.1529049873352,0.1197052001953125,0.8095,0.8124369069250958,0.8048,0.8086004219833216,0.8095000000000001
5.9604644775390625e-05,247.4418888092041,0.17254137992858887,0.8151,0.8170658080096599,0.812,0.8145250275855151,0.8151
6.151199340820312e-05,227.2648630142212,0.1329185962677002,0.8076,0.8074770091963215,0.8078,0.8076384723055389,0.8075999999999999
7.677078247070312e-05,252.25169229507446,0.10098147392272949,0.8095,0.8079601990049752,0.812,0.8099750623441396,0.8095
0.000 +- 0.000,234.883 +- 13.478,0.121 +- 0.032,0.810 +- 0.003,0.811 +- 0.003,0.809 +- 0.003,0.810 +- 0.002,0.810 +- 0.003
