fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
5.793571472167969e-05,0.4965970516204834,0.0903177261352539,0.7986,0.7975288959744918,0.8004,0.7989618686364544,0.7986
7.677078247070312e-05,0.4159090518951416,0.13595080375671387,0.7963,0.7890731707317074,0.8088,0.7988148148148148,0.7963
5.9604644775390625e-05,0.39237236976623535,0.08913493156433105,0.801,0.7977839335180056,0.8064,0.8020688283270341,0.8009999999999999
6.151199340820312e-05,0.570357084274292,0.13200664520263672,0.7943,0.7898365176285208,0.802,0.7958717872382653,0.7943
7.677078247070312e-05,0.3951833248138428,0.09278154373168945,0.7974,0.7926013380558835,0.8056,0.7990478079746082,0.7974000000000001
0.000 +- 0.000,0.454 +- 0.069,0.108 +- 0.021,0.798 +- 0.002,0.793 +- 0.004,0.805 +- 0.003,0.799 +- 0.002,0.798 +- 0.002
