fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
5.793571472167969e-05,0.1555335521697998,0.02344489097595215,0.6541,0.634773482595767,0.7258,0.6772417654194272,0.6541000000000001
7.677078247070312e-05,0.18864798545837402,0.03223085403442383,0.6387,0.6104475234910017,0.7666,0.6796701835269083,0.6386999999999998
5.9604644775390625e-05,0.1965487003326416,0.032048702239990234,0.6401,0.6193966251917504,0.7268,0.6688138400662557,0.6401
6.151199340820312e-05,0.2013707160949707,0.03134942054748535,0.6343,0.6202758373634247,0.6926,0.6544458093168288,0.6343000000000001
7.677078247070312e-05,0.16267180442810059,0.0253751277923584,0.6375,0.6239855725879171,0.692,0.656235182550972,0.6375
0.000 +- 0.000,0.181 +- 0.018,0.029 +- 0.004,0.641 +- 0.007,0.622 +- 0.008,0.721 +- 0.028,0.667 +- 0.010,0.641 +- 0.007
