fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
5.793571472167969e-05,4.367177724838257,0.4000113010406494,0.8027,0.8014339772953595,0.8048,0.8031134617303662,0.8027
7.677078247070312e-05,4.4568798542022705,0.39670681953430176,0.8016,0.7937280872613947,0.815,0.804223406354845,0.8016
5.9604644775390625e-05,4.815141439437866,0.4713270664215088,0.804,0.8000394788787999,0.8106,0.8052851182197497,0.804
6.151199340820312e-05,5.229771137237549,0.6857504844665527,0.7989,0.7954141134611583,0.8048,0.800079530768466,0.7988999999999999
7.677078247070312e-05,4.866595029830933,0.43058133125305176,0.8007,0.7947461282101549,0.8108,0.8026928026928027,0.8007
0.000 +- 0.000,4.747 +- 0.310,0.477 +- 0.108,0.802 +- 0.002,0.797 +- 0.003,0.809 +- 0.004,0.803 +- 0.002,0.802 +- 0.002
