fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
5.793571472167969e-05,641.4538383483887,115.87649178504944,0.8248,0.8106350420811017,0.8476,0.8287055142745405,0.8248
7.677078247070312e-05,638.0780718326569,115.33436727523804,0.8213,0.8037436188315371,0.8502,0.8263193702011857,0.8213
5.9604644775390625e-05,666.628998041153,121.50110840797424,0.8322,0.8145833333333333,0.8602,0.8367704280155642,0.8321999999999999
6.151199340820312e-05,641.627512216568,117.6059091091156,0.8225,0.8051087984862819,0.851,0.8274185707340788,0.8225
7.677078247070312e-05,644.9548151493073,115.27114200592041,0.8274,0.8093348450491308,0.8566,0.8322969296541003,0.8274000000000001
0.000 +- 0.000,646.549 +- 10.273,117.118 +- 2.349,0.826 +- 0.004,0.809 +- 0.004,0.853 +- 0.005,0.830 +- 0.004,0.826 +- 0.004
