fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
0.6831016540527344,0.060034990310668945,0.008250236511230469,0.9327354260089686,0.7192982456140351,0.82,0.7663551401869159,0.8851295336787565
0.6822268962860107,0.13420557975769043,0.024489879608154297,0.9363228699551569,0.7309941520467836,0.8333333333333334,0.778816199376947,0.892832469775475
0.4155855178833008,0.04986977577209473,0.006304025650024414,0.9245960502692998,0.6701570680628273,0.8590604026845637,0.7529411764705883,0.8968877142956497
0.42078638076782227,0.048853397369384766,0.006459236145019531,0.933572710951526,0.7388535031847133,0.7785234899328859,0.7581699346405228,0.8680182216503808
0.4460575580596924,0.09285926818847656,0.018029212951660156,0.9371633752244165,0.7393939393939394,0.8187919463087249,0.7770700636942676,0.8871161804082484
0.562 +- 0.157,0.077 +- 0.033,0.013 +- 0.007,0.933 +- 0.004,0.720 +- 0.026,0.822 +- 0.026,0.767 +- 0.010,0.886 +- 0.010
