fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
4.506111145019531e-05,9.344005346298218,0.18615961074829102,0.7914060923945935,0.9776727081691621,0.7968315135945194,0.8780372729417316,0.7498143581958611
3.886222839355469e-05,11.079776525497437,0.18556833267211914,0.7974581400040347,0.977349648529029,0.8036822950117748,0.8820488721804512,0.7497432454079853
4.100799560546875e-05,10.980571508407593,0.17943286895751953,0.7797054670163406,0.9816958277254374,0.7807749946478271,0.8697829716193656,0.7715063784427947
4.7206878662109375e-05,10.865146160125732,0.1734316349029541,0.7768361581920904,0.9787748522299838,0.7800856531049251,0.8682078169685414,0.7519309384405743
3.886222839355469e-05,10.39600396156311,0.1738569736480713,0.7725988700564972,0.9732834624632648,0.7800856531049251,0.8660406513728753,0.7152176517272877
0.000 +- 0.000,10.677 +- 0.654,0.203 +- 0.028,0.790 +- 0.029,0.978 +- 0.003,0.796 +- 0.033,0.877 +- 0.019,0.749 +- 0.014
