fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
4.506111145019531e-05,0.44134092330932617,0.059607505798339844,0.508573734113375,0.9638854296388543,0.49710982658959535,0.6559322033898305,0.5964570111968956
3.886222839355469e-05,0.36640214920043945,0.03697562217712402,0.520274359491628,0.9617398308497785,0.5112395632626846,0.6675985462678221,0.5895358655474262
4.100799560546875e-05,0.3707869052886963,0.03399157524108887,0.5652612467218076,0.9662713120830244,0.5581245985870263,0.7075586918170715,0.6199713902026041
4.7206878662109375e-05,0.382554292678833,0.036644935607910156,0.5443906376109766,0.9663573085846868,0.535117773019272,0.6888092613009923,0.615460984411734
3.886222839355469e-05,0.38964176177978516,0.03287386894226074,0.5774818401937046,0.9649819494584837,0.5723768736616702,0.7185483870967742,0.6166080172504156
0.000 +- 0.000,0.395 +- 0.025,0.041 +- 0.010,0.535 +- 0.024,0.964 +- 0.002,0.526 +- 0.026,0.680 +- 0.022,0.603 +- 0.014
