fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
6.818771362304688e-05,0.0681917667388916,0.014354228973388672,0.7121076233183856,0.30786516853932583,0.9133333333333333,0.4605042016806723,0.7970811744386875
7.963180541992188e-05,0.0531005859375,0.015367984771728516,0.736322869955157,0.3333333333333333,0.96,0.49484536082474223,0.8307772020725389
4.863739013671875e-05,0.07541656494140625,0.02070903778076172,0.7432675044883303,0.33729216152019004,0.9530201342281879,0.4982456140350877,0.8319504816218659
6.818771362304688e-05,0.03976798057556152,0.011942625045776367,0.7217235188509874,0.31910112359550563,0.9530201342281879,0.47811447811447805,0.8195152484612442
5.2928924560546875e-05,0.05130958557128906,0.016217470169067383,0.7199281867145422,0.31519274376417233,0.9328859060402684,0.4711864406779661,0.8099662690823104
0.000 +- 0.000,0.058 +- 0.013,0.016 +- 0.003,0.727 +- 0.011,0.323 +- 0.011,0.942 +- 0.017,0.481 +- 0.014,0.818 +- 0.013
