fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
368.6554419994354,126.23251509666443,0.015265941619873047,0.8103,0.8085106382978723,0.8132,0.810848539236215,0.8103000000000001
369.67151522636414,116.44467115402222,0.014645099639892578,0.796,0.7937673680031758,0.7998,0.7967722653915124,0.7959999999999999
371.1464126110077,113.42716646194458,0.017259836196899414,0.806,0.8083434099153567,0.8022,0.805259987954226,0.806
388.8722701072693,119.57330560684204,0.01677417755126953,0.7975,0.7987547700341434,0.7954,0.797073855095701,0.7975
390.0023446083069,108.95629978179932,0.016499042510986328,0.8045,0.8039528848073467,0.8054,0.8046757917873913,0.8045
377.670 +- 9.648,116.927 +- 5.824,0.016 +- 0.001,0.803 +- 0.005,0.803 +- 0.006,0.803 +- 0.006,0.803 +- 0.005,0.803 +- 0.005
