fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
368.6554419994354,0.3275604248046875,0.02126455307006836,0.608,0.6179039301310044,0.566,0.5908141962421711,0.608
369.67151522636414,0.35703325271606445,0.019915103912353516,0.6066,0.595897804965815,0.6624,0.6273915514301951,0.6065999999999999
371.1464126110077,0.5138258934020996,0.029535531997680664,0.6175,0.6208599053692656,0.6036,0.6121083054456952,0.6174999999999999
388.8722701072693,0.29704785346984863,0.015889406204223633,0.5933,0.6046668162441103,0.539,0.5699481865284974,0.5933
390.0023446083069,0.3077547550201416,0.01738715171813965,0.598,0.6228686058174524,0.4968,0.5527369826435247,0.598
377.670 +- 9.648,0.361 +- 0.079,0.021 +- 0.005,0.605 +- 0.008,0.612 +- 0.010,0.574 +- 0.056,0.591 +- 0.027,0.605 +- 0.008
