fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
368.6554419994354,0.053537607192993164,0.01927018165588379,0.6047,0.6738625041514447,0.4058,0.50655348895269,0.6046999999999999
369.67151522636414,0.0554349422454834,0.022449970245361328,0.5689,0.6225542511561721,0.35,0.4480860325182435,0.5689000000000001
371.1464126110077,0.05382418632507324,0.019090890884399414,0.5861,0.6518518518518519,0.3696,0.47172941927249523,0.5861
388.8722701072693,0.04055309295654297,0.01476907730102539,0.5805,0.6363944425618434,0.3756,0.4723934096340083,0.5805
390.0023446083069,0.041768789291381836,0.015470027923583984,0.5669,0.6128161888701518,0.3634,0.45624607658505967,0.5669
377.670 +- 9.648,0.049 +- 0.006,0.018 +- 0.003,0.581 +- 0.014,0.639 +- 0.022,0.373 +- 0.019,0.471 +- 0.020,0.581 +- 0.014
