fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
368.6554419994354,0.018036365509033203,3.9657459259033203,0.6302,0.6197131298271423,0.674,0.6457175704157885,0.6302
369.67151522636414,0.018245220184326172,3.907442331314087,0.6296,0.6203566121842496,0.668,0.6432973805855162,0.6296
371.1464126110077,0.01874685287475586,3.8305985927581787,0.6405,0.6306004833612195,0.6784,0.6536275171018402,0.6405000000000001
388.8722701072693,0.021027326583862305,3.9433271884918213,0.6358,0.6294319481509721,0.6604,0.6445442123755613,0.6358
390.0023446083069,0.01774430274963379,5.668856620788574,0.6306,0.6210155670867309,0.6702,0.6446710273181993,0.6305999999999999
377.670 +- 9.648,0.019 +- 0.001,4.263 +- 0.704,0.633 +- 0.004,0.624 +- 0.005,0.670 +- 0.006,0.646 +- 0.004,0.633 +- 0.004
