fit_time_model,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
368.6554419994354,0.5821743011474609,0.022431373596191406,0.6907,0.7821840781296241,0.5286,0.6308628714643751,0.6907
369.67151522636414,0.6030623912811279,0.033257484436035156,0.6666,0.7504509921828022,0.4992,0.5995676195051646,0.6666
371.1464126110077,1.031688928604126,0.06849813461303711,0.686,0.7753108348134992,0.5238,0.6252088804010504,0.686
388.8722701072693,0.5255470275878906,0.02342367172241211,0.6704,0.7528189910979228,0.5074,0.6062126642771803,0.6704000000000001
390.0023446083069,0.4738473892211914,0.023270845413208008,0.6742,0.7563272513243084,0.514,0.6120504882114789,0.6742
377.670 +- 9.648,0.643 +- 0.199,0.034 +- 0.018,0.678 +- 0.009,0.763 +- 0.013,0.515 +- 0.011,0.615 +- 0.012,0.678 +- 0.009
